model_reaction_id,reaction_name,model_equation,rxndb_id,rxndb_ec_number,enzyme_ec_numbers,pu_reference_likeness_score
rxn3222,rxn3222,s_0794 + s_1212 + sn_67 --> s_1207 + s_1248,rxn3222,1.10.3.1;1.14.18.1,1.3.1.-|1.3.1.104|1.3.1.124|1.3.1.13|1.3.1.6|1.3.1.70|1.3.1.71|1.3.1.76|1.3.1.88|1.3.1.89|1.3.1.90|1.3.1.91|1.3.1.93|1.3.1.94|1.6.99.1|2.1.1.107|4.99.1.4,0.9979606844876833
rxn3239,rxn3239,s_0415 --> s_3768,rxn3239,1.10.3.1;1.14.18.1,5.4.2.11|5.4.2.2|5.4.2.3|5.4.2.8,0.9979602081623766
rxn1971,rxn1971,s_0025 + s_0978 --> s_1014 + s_1399,rxn1971,2.1.1,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9979587516761227
rxn310,rxn310,s_0794 + s_1212 + s_1275 + s_4250 --> s_0025 + s_0803 + s_1207,rxn310,,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.9979582571961956
rxn2271,rxn2271,s_0577 + sn_31 --> s_0260 + s_0557,rxn2271,2.1.1,2.2.1.1|2.2.1.2|2.2.1.6,0.9979525508117149
rxn1583,rxn1583,s_0837 + s_3874 --> s_0286 + s_0803,rxn1583,3.4.19.16,,0.9979515239131448
rxn3036,rxn3036,s_0794 + s_1203 + s_1275 + s_3800 --> s_0803 + s_1198 + s_3792,rxn3036,2.1.1,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.9979393536552331
rxn1631,rxn1631,s_0794 + s_1203 + sn_237 --> s_1198 + s_1286,rxn1631,2.4.1.141,1.3.1.-|1.3.1.104|1.3.1.124|1.3.1.13|1.3.1.6|1.3.1.70|1.3.1.71|1.3.1.76|1.3.1.88|1.3.1.89|1.3.1.90|1.3.1.91|1.3.1.93|1.3.1.94|1.6.99.1|2.1.1.107|4.99.1.4,0.9979365418817475
rxn1633,rxn1633,s_0794 + s_1203 + sn_64 --> s_1065 + s_1198,rxn1633,2.4.1.141,1.3.1.-|1.3.1.104|1.3.1.124|1.3.1.13|1.3.1.6|1.3.1.70|1.3.1.71|1.3.1.76|1.3.1.88|1.3.1.89|1.3.1.90|1.3.1.91|1.3.1.93|1.3.1.94|1.6.99.1|2.1.1.107|4.99.1.4,0.9979359195420693
rxn553,rxn553,s_0282 + s_0610 + s_1275 --> s_0066 + s_0456 + s_0543,rxn553,1.1.1.21,1.14.11.-|1.14.11.27,0.997935111995514
